@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
A,20,0.1,0.11,0.13,0.13,-0.06,-0.06,0.0,0.12,0.06,1.0,0,0.25,0.2,0,0.07,0.0,0,?,?,?,?,?,?,5,0,GO0005634@GO0005635@GO0005643@GO0005737@GO0005829@GO0006406@GO0006913@GO0008536@GO0008565
A,21,0.26,0.27,0.24,0.27,-0.06,0.0,0.01,0.26,0.09,0.0,0,0.1,0.6,0,0.09,0.11,0,?,?,?,?,5,?,?,0,GO0004644@GO0006164@GO0006189@GO0046084
B,26,0.14,0.1,0.1,0.15,-0.1,-0.1,0.1,0.12,0.08,1.3,0,0.08,0.8,0,0.15,0.67,0,?,1,?,?,1,1,?,0,GO0030479@GO0032587@GO0035091@GO0051015@GO0051017@GO0051666@GO1900027
C,21,0.4,0.4,0.3,0.48,-0.06,0.0,-0.03,0.37,0.13,0.0,0,0.18,0.3,0,0.14,0.21,0,1,?,1,?,5,?,?,0,GO0000001@GO0000147@GO0003779@GO0005198@GO0005885@GO0030041@GO0030479@GO0034314
C,20,0.8,0.75,0.43,1.33,-0.06,-0.14,0.13,0.83,0.06,2.3,0,0.16,0.4,0,0.18,0.72,0,?,?,?,?,?,?,?,0,GO0003729@GO0003872@GO0005524@GO0005739@GO0005741@GO0005945@GO0006002@GO0006096@GO0007035@GO0046872@GO0051453@GO0070072@GO1902600
D,20,1.29,1.28,1.37,1.83,-0.06,-0.05,0.09,1.44,0.1,0.5,0,0.08,0.8,0,0.11,0.82,0,?,?,?,?,?,?,?,0,GO0003677@GO0005634@GO0006413@GO0006457@GO0007049@GO0022627@GO0035719@GO0051082@GO0051787@GO0070843@GO0071630
D,21,0.23,0.23,0.35,0.36,-0.06,0.27,0.24,0.29,0.21,1.3,1,0.08,0.8,0,0.15,1.6,1,?,?,?,?,?,?,?,0,GO0005886@GO0006825@GO0006826@GO0006828@GO0006876@GO0006878@GO0015295@GO0015691@GO0016021@GO0022890@GO0030026@GO0046872@GO0046873
D,20,0.1,0.17,0.25,0.14,-0.06,0.22,0.03,0.17,0.11,2.0,1,0.1,0.6,0,0.16,0.19,0,1,?,?,?,?,?,?,0,GO0000993@GO0001113@GO0001129@GO0001139@GO0001174@GO0005634@GO0017025@GO0046872@GO0051123@GO0097550@GO2000679
A,21,0.42,0.32,0.31,0.37,-0.07,-0.04,0.0,0.36,0.1,0.4,0,0.1,0.7,0,0.06,0.0,0,?,?,?,?,?,?,5,0,GO0000329@GO0005381@GO0006897@GO0016021@GO0034755@GO0055072
A,20,0.7,0.62,0.7,1.0,-0.07,0.0,0.12,0.76,0.08,0.0,0,0.1,0.7,0,0.1,1.2,0,?,?,?,?,4,?,?,0,GO0003941@GO0004794@GO0006565@GO0006567@GO0030170@GO0042645
A,22,3.87,3.76,2.79,2.04,-0.07,-0.14,-0.22,3.12,0.07,2.0,0,0.09,0.8,0,0.07,3.14,1,?,?,?,?,?,?,?,0,GO0002181@GO0003735@GO0008270@GO0022627
A,20,1.43,1.01,2.49,1.15,-0.07,0.28,-0.09,1.52,0.09,3.1,1,0.08,0.9,0,0.07,1.29,0,?,?,?,?,?,?,?,0,GO0004129@GO0005751@GO0006123@GO0016021
A,66,1.57,1.75,1.45,1.03,-0.07,0.0,-0.1,1.45,0.09,0.0,0,0.19,0.4,0,0.13,0.77,0,?,?,?,?,5,?,?,0,GO0002181@GO0003735@GO0006450@GO0022625
A,20,2.28,1.68,2.78,1.61,-0.07,0.14,-0.0,2.09,0.11,1.3,0,0.09,0.8,0,0.1,0.3,0,?,?,?,?,?,?,1,0,GO0004073@GO0005737@GO0009086@GO0009088@GO0009089@GO0009090@GO0009097@GO0046983@GO0050661@GO0051287
A,20,3.6,3.35,2.35,3.0,-0.07,-0.19,-0.09,3.08,0.07,2.7,0,0.08,0.9,0,0.06,1.5,0,?,?,?,?,?,?,?,0,GO0003674@GO0005575@GO0008150
B,20,0.27,0.13,0.5,0.27,-0.07,0.37,0.03,0.29,0.12,3.1,1,0.1,0.7,0,0.21,0.14,0,?,?,?,?,?,?,2,0,GO0003942@GO0003991@GO0004042@GO0005524@GO0005759@GO0006355@GO0006526@GO0006592@GO0034618@GO0046983@GO0051287
B,20,0.39,0.23,0.22,0.35,-0.1,-0.09,0.04,0.3,0.12,0.8,0,0.09,0.8,0,0.21,0.19,0,?,?,?,?,?,1,?,0,GO0000989@GO0005096@GO0005634@GO0006351@GO0006357@GO0006897@GO0007624@GO0010512@GO0030479@GO0045944@GO0046872@GO0070491
B,20,0.27,0.27,0.39,0.37,-0.07,0.04,0.08,0.33,0.18,0.2,0,0.09,0.8,0,0.1,0.8,0,?,?,?,?,?,?,?,0,GO0005789@GO0006457@GO0006888@GO0015031@GO0016021@GO0034221@GO0051082@GO0071555
D,20,0.16,0.15,0.16,0.21,-0.07,-0.04,0.14,0.17,0.18,0.2,0,0.16,0.4,0,0.1,1.4,0,?,?,?,?,?,?,2,0,GO0000411@GO0001302@GO0003924@GO0005525@GO0005634@GO0005739@GO0005789@GO0005886@GO0007165@GO0007190@GO0010603@GO0016236@GO0030437@GO0032258@GO0032880@GO0045762@GO0097271@GO2000222
D,21,0.1,0.12,0.18,0.12,-0.07,0.05,0.0,0.13,0.18,0.3,0,0.04,1.8,0,0.12,0.0,0,1,?,?,?,?,?,4,0,GO0000139@GO0005384@GO0005385@GO0005770@GO0005802@GO0016021@GO0030026@GO0071577
D,21,0.42,0.4,0.86,0.35,-0.07,0.16,-0.05,0.51,0.14,1.1,0,0.04,1.8,0,0.09,0.56,0,?,?,?,?,?,?,?,0,GO0000296@GO0000297@GO0000329@GO0005886@GO0015297@GO0015606@GO0015848@GO0016021
A,20,2.94,2.79,1.98,1.94,-0.08,-0.15,-0.21,2.41,0.07,2.1,0,0.07,1.1,0,0.09,2.33,1,?,?,?,?,?,?,?,0,GO0000462@GO0003735@GO0005730@GO0006412@GO0019843@GO0022627@GO0032040@GO0045903
A,21,0.75,0.63,0.61,0.62,-0.08,-0.09,-0.11,0.65,0.07,1.3,0,0.07,1.1,0,0.05,2.2,0,?,?,?,?,?,?,?,0,GO0004739@GO0005739@GO0005967@GO0006086@GO0006096@GO0042645
A,20,0.15,0.22,0.12,0.16,-0.08,0.0,0.0,0.16,0.09,0.0,0,0.18,0.4,0,0.1,0.0,0,?,?,?,?,5,?,5,0,GO0006950@GO0016021
A,21,7.08,6.41,4.79,4.32,-0.08,-0.22,-0.26,5.65,0.1,2.2,1,0.1,0.8,0,0.05,5.2,1,?,?,?,?,?,?,?,0,GO0000462@GO0002181@GO0003735@GO0005730@GO0006412@GO0022627@GO0070181
A,21,0.7,0.57,0.6,0.71,-0.08,-0.04,0.0,0.65,0.08,0.5,0,0.11,0.7,0,0.03,0.0,0,?,?,?,?,?,?,5,0,GO0003870@GO0005759@GO0006782@GO0006783@GO0030170
A,21,0.1,0.09,0.09,0.1,-0.08,0.0,0.0,0.09,0.09,0.0,0,0.25,0.3,0,0.02,0.0,0,1,?,?,1,5,?,5,0,GO0000176@GO0000177@GO0000467@GO0005730@GO0017091@GO0034427@GO0034473@GO0034475@GO0034476@GO0043928@GO0070478@GO0070481@GO0070651@GO0071028@GO0071035@GO0071038@GO0071042@GO0071051
B,20,0.11,0.1,0.12,0.06,-0.08,0.0,0.0,0.09,0.06,0.0,0,0.1,0.8,0,0.2,0.0,0,?,1,?,?,5,?,5,0,GO0006351@GO0006355
B,20,0.62,0.51,0.52,1.26,-0.08,0.0,0.15,0.73,0.17,0.0,0,0.15,0.5,0,0.18,0.83,0,?,?,?,?,5,?,?,0,GO0000131@GO0000902@GO0005884@GO0005934@GO0008290@GO0030036@GO0030447@GO0030479@GO0051015@GO0051016
C,21,0.4,0.29,0.26,0.43,-0.08,0.0,0.08,0.33,0.13,0.0,0,0.21,0.4,0,0.24,0.33,0,1,?,?,?,5,?,2,0,GO0004017@GO0004127@GO0005524@GO0005634@GO0005737@GO0006139@GO0006207@GO0006221@GO0009041
D,20,0.2,0.22,0.17,0.26,-0.08,-0.12,0.07,0.21,0.12,1.0,0,0.07,1.1,0,0.11,0.64,0,?,?,?,?,?,?,?,0,GO0005886@GO0006865@GO0015171@GO0016021
A,21,0.65,0.41,0.98,0.63,-0.09,0.19,-0.07,0.67,0.07,2.7,0,0.07,1.3,0,0.09,0.78,0,?,?,?,?,?,?,?,0,GO0005756@GO0015986@GO0046933
A,21,0.51,0.48,0.35,0.3,-0.09,-0.03,-0.06,0.41,0.07,0.4,0,0.08,1.1,0,0.05,1.2,0,?,?,?,?,?,?,?,0,GO0000144@GO0000281@GO0000921@GO0001400@GO0003924@GO0005198@GO0005525@GO0005545@GO0005628@GO0005876@GO0010314@GO0010458@GO0030011@GO0031105@GO0032160@GO0032947@GO0042764@GO0043934@GO0070273@GO0072687
A,20,0.11,0.12,0.13,0.1,-0.09,-0.08,0.0,0.12,0.11,0.7,0,0.25,0.4,0,0.08,0.0,0,?,?,?,1,?,?,5,0,GO0000492@GO0005634@GO0005737@GO0006457@GO0051087@GO0097255
A,20,0.14,0.12,0.11,0.24,-0.09,-0.03,0.11,0.15,0.1,0.3,0,0.09,1.0,0,0.11,1.0,0,?,?,?,?,?,?,2,0,GO0000176@GO0000177@GO0000467@GO0005730@GO0016075@GO0017091@GO0034427@GO0034473@GO0034475@GO0034476@GO0043628@GO0043928@GO0070478@GO0070481@GO0070651@GO0071028@GO0071035@GO0071038@GO0071042@GO0071051
A,20,0.1,0.09,0.1,0.11,-0.09,0.0,0.0,0.1,0.09,0.0,0,0.13,0.7,0,0.04,0.0,0,1,?,?,?,5,?,5,0,GO0005524@GO0005832@GO0006457@GO0006458@GO0044183@GO0051082@GO0061077
A,21,0.88,0.62,0.66,0.48,-0.09,-0.08,-0.15,0.66,0.08,1.0,0,0.15,0.6,0,0.07,2.14,0,?,?,?,?,?,?,?,0,GO0005198@GO0005784@GO0006616@GO0008565@GO0015450@GO0016021@GO0031204@GO0071261
B,20,4.55,3.37,3.05,4.88,-0.09,0.01,0.02,3.96,0.06,0.2,0,0.08,1.1,0,0.09,0.22,0,?,?,?,?,?,?,?,0,GO0000122@GO0000790@GO0000978@GO0000981@GO0001080@GO0001135@GO0001190@GO0001191@GO0003682@GO0003700@GO0005634@GO0005667@GO0008652@GO0010508@GO0010691@GO0036278@GO0042802@GO0043565@GO0043621@GO0045899@GO0060261@GO1903833
C,20,1.02,0.67,0.43,0.81,-0.09,-0.3,-0.14,0.73,0.13,2.0,1,0.15,0.6,0,0.12,1.17,0,?,?,?,?,1,?,?,0,GO0009922@GO0016020@GO0019367@GO0019368@GO0030148@GO0030176@GO0034625@GO0034626@GO0042761@GO0102336@GO0102337@GO0102338@GO0102756
C,20,2.32,2.48,0.81,3.08,-0.09,-0.42,0.14,2.17,0.2,2.1,1,0.07,1.3,0,0.18,0.78,0,?,?,?,?,?,?,?,0,GO0003983@GO0005978@GO0005992@GO0006011@GO0006078@GO0010494@GO0046872@GO0070569
D,20,0.95,0.47,3.03,2.58,-0.09,0.59,0.38,1.76,0.23,2.6,1,0.14,0.6,0,0.11,3.45,1,?,?,?,?,2,?,?,0,GO0000324@GO0004866@GO0004867@GO0015031@GO0030162@GO0042144
D,21,0.13,0.11,0.21,0.19,-0.09,0.07,0.14,0.16,0.23,0.3,0,0.02,4.5,0,0.19,0.74,0,?,?,?,?,?,?,?,0,GO0003723@GO0003735@GO0005739@GO0006412@GO0015935@GO0032543@GO0042254
D,20,0.54,0.39,0.83,0.83,-0.09,0.14,0.16,0.65,0.14,1.0,0,0.12,0.8,0,0.06,2.67,0,?,?,?,?,?,?,?,0,GO0005829@GO0006417@GO0045182
A,41,1.58,1.47,1.28,1.01,-0.1,-0.12,-0.18,1.34,0.07,1.7,0,0.11,0.9,0,0.15,1.2,0,?,?,?,?,?,?,?,0,GO0003746@GO0005085@GO0005853@GO0006414@GO0006449@GO0032232@GO1990145
A,20,1.26,0.91,1.04,0.75,-0.1,-0.01,-0.12,0.99,0.09,0.1,0,0.13,0.8,0,0.07,1.71,0,?,?,?,?,?,?,?,0,GO0003984@GO0005948@GO0009082@GO0009097@GO0009099@GO0030234@GO0042645
A,21,0.38,0.32,0.33,0.36,-0.1,-0.08,0.0,0.35,0.06,1.3,0,0.15,0.7,0,0.08,0.0,0,?,?,?,?,?,?,?,0,GO0000105@GO0004399@GO0004635@GO0004636@GO0005524@GO0008270@GO0051287
A,21,0.2,0.16,0.21,0.19,-0.1,0.0,0.0,0.19,0.09,0.0,0,0.09,1.1,0,0.08,0.0,0,?,?,?,?,5,?,5,0,GO0003855@GO0003856@GO0003866@GO0004764@GO0004765@GO0005524@GO0005737@GO0009073@GO0009423@GO0046872
A,20,0.13,0.1,0.21,0.11,-0.1,-0.02,0.0,0.14,0.08,0.3,0,0.14,0.7,0,0.04,0.0,0,?,?,?,?,?,?,5,0,GO0005783@GO0006281@GO0006506@GO0006888@GO0007049@GO0016021@GO0016787@GO0046872@GO0051301
B,20,0.93,0.56,0.61,0.63,-0.1,-0.03,-0.06,0.68,0.09,0.3,0,0.12,0.8,0,0.16,0.38,0,?,?,?,?,?,?,?,0,GO0005086@GO0005784@GO0006614@GO0006616@GO0016021@GO0031204@GO0031205@GO0071261
C,21,0.94,0.91,0.7,1.46,-0.1,0.0,0.03,1.0,0.16,0.0,0,0.18,0.6,0,0.12,0.25,0,?,?,?,?,5,?,?,0,GO0000139@GO0005198@GO0005774@GO0005789@GO0015031@GO0030127@GO0030433@GO0031080@GO0031081@GO0035859@GO0043547@GO0045893@GO0051028@GO0090114@GO1904263
C,21,0.37,0.53,0.42,0.5,-0.1,0.0,-0.09,0.46,0.13,0.0,0,0.28,0.4,0,0.08,1.13,0,?,?,?,?,5,?,?,0,GO0000070@GO0003924@GO0005200@GO0005525@GO0005816@GO0005828@GO0005880@GO0005881@GO0030473@GO0045143@GO0045298
D,20,0.13,0.1,0.1,0.1,-0.1,0.0,0.0,0.11,0.14,0.0,0,0.03,3.3,0,0.3,0.0,0,?,?,?,?,4,?,4,0,GO0000001@GO0000011@GO0000131@GO0000132@GO0000146@GO0003777@GO0005516@GO0005524@GO0005934@GO0005935@GO0006904@GO0007018@GO0007107@GO0007118@GO0008017@GO0009826@GO0015031@GO0016192@GO0016459@GO0030050@GO0030133@GO0031941@GO0031982@GO0032432@GO0043332@GO0045033@GO0048313@GO0051015@GO0071563
A,21,0.15,0.14,0.1,0.19,-0.11,0.0,0.0,0.14,0.12,0.0,0,0.22,0.5,0,0.02,0.0,0,?,?,1,?,5,?,5,0,GO0003993@GO0005576@GO0006796@GO0009277@GO0016036@GO0017111@GO0047429
A,20,0.44,0.35,0.42,0.42,-0.11,-0.02,0.0,0.41,0.11,0.2,0,0.14,0.8,0,0.08,0.0,0,?,?,?,?,?,?,5,0,GO0003841@GO0005811@GO0016021@GO0016024@GO0046474
A,20,0.26,0.15,0.31,0.27,-0.11,0.07,0.08,0.25,0.14,0.5,0,0.12,0.9,0,0.06,1.33,0,?,?,?,?,?,?,?,0,GO0000288@GO0000289@GO0000290@GO0000749@GO0000932@GO0005634@GO0005737@GO0006357@GO0006368@GO0016567@GO0017148@GO0030015@GO0031087@GO0032968@GO0051726
A,20,0.09,0.08,0.1,0.1,-0.11,0.0,0.0,0.09,0.1,0.0,0,0.11,1.0,0,0.04,0.0,0,?,?,1,1,5,?,5,0,GO0000956@GO0003729@GO0003730@GO0005634@GO0005829@GO0006879@GO0046872@GO0061158
A,21,0.18,0.14,0.13,0.29,-0.11,0.0,0.1,0.19,0.12,0.0,0,0.2,0.6,0,0.08,1.25,0,?,?,?,?,5,?,2,0,GO0004338@GO0005576@GO0005886@GO0006073@GO0009251@GO0009277@GO0009986@GO0031225@GO0031505
A,21,0.11,0.11,0.18,0.09,-0.11,0.18,0.0,0.12,0.22,0.8,0,0.19,0.6,0,0.02,0.0,0,?,?,?,?,?,?,5,0,GO0005634@GO0005829@GO0006152@GO0006216@GO0006218@GO0008477@GO0008655@GO0019358@GO0034356@GO0045437@GO0046135@GO0050263@GO0070635@GO0070636
A-D,625,0.1,0.1,0.1,0.1,-0.11,0.0,0.0,0.09,0.13,0.0,0,0.16,0.7,0,0.17,0.0,0,1,1,1,1,5,?,5,0,GO0000979@GO0003712@GO0001139@GO0006367@GO0016592@GO0033613@GO0045944@GO0070847
C,21,0.42,0.56,0.3,0.66,-0.11,-0.16,-0.07,0.48,0.05,3.2,0,0.26,0.4,0,0.1,0.7,0,?,?,1,?,?,?,?,0,GO0000002@GO0005743@GO0005744@GO0005758@GO0015450@GO0030150@GO0031305
C,20,0.53,0.68,0.46,1.2,-0.11,0.0,0.2,0.72,0.13,0.0,0,0.3,0.4,0,0.19,1.05,1,?,?,?,?,5,?,?,0,GO0005783@GO0005789@GO0006886@GO0006888@GO0016021@GO0070973
C,21,0.4,0.32,0.3,0.27,-0.11,0.0,0.0,0.3,0.13,0.0,0,0.29,0.4,0,0.17,0.0,0,1,?,1,?,5,?,4,0,GO0000462@GO0002181@GO0003743@GO0005852@GO0010494
C,20,0.76,0.81,0.39,0.82,-0.11,-0.1,0.03,0.7,0.06,2.2,0,0.24,0.5,0,0.14,0.21,0,?,?,?,?,1,?,2,0,GO0003999@GO0005634@GO0005737@GO0006166@GO0006167@GO0006168@GO0044209@GO0046872
D,20,1.94,1.3,1.85,3.12,-0.11,-0.04,0.18,2.05,0.1,0.4,0,0.19,0.6,0,0.18,1.0,0,?,?,?,?,?,?,?,0,GO0000324@GO0004190@GO0005576@GO0006624@GO0006914@GO0008233@GO0009267@GO0009277@GO0016236@GO0016237@GO0031362@GO0031505@GO0032258@GO0032991@GO0051603@GO0070492@GO0097718
A,20,0.18,0.19,0.2,0.39,-0.12,-0.05,0.26,0.24,0.09,0.6,0,0.13,0.9,0,0.1,2.6,1,?,?,?,?,?,?,2,0,GO0005524@GO0005634@GO0006511@GO0008540@GO0016887@GO0017025@GO0030433@GO0031503@GO0031595@GO0031597@GO0036402@GO0043171@GO0045732@GO0045899@GO0070651@GO0070682
A,34,14.6,12.2,12.2,9.7,-0.12,-0.13,-0.18,12.15,0.06,2.2,0,0.08,1.5,0,0.08,2.25,0,?,?,?,?,?,?,?,0,GO0005576@GO0009277@GO0031225
A,20,0.1,0.07,0.13,0.1,-0.12,0.0,0.0,0.1,0.09,0.0,0,0.21,0.6,0,0.02,0.0,0,1,?,?,1,5,?,5,0,GO0003723@GO0004349@GO0005524@GO0005829@GO0006561@GO0034517@GO0055129
B,20,0.29,0.18,0.22,0.3,-0.12,0.04,0.22,0.25,0.16,0.3,0,0.17,0.7,0,0.14,1.57,1,?,?,?,?,?,?,?,0,GO0000122@GO0000978@GO0000981@GO0005634@GO0006351@GO0036095@GO0045835@GO0045944@GO0046872@GO0051038@GO0051301@GO0071931
B,20,0.24,0.1,0.1,0.07,-0.1,0.0,0.0,0.12,0.12,0.0,0,0.14,0.9,0,0.18,0.0,0,?,1,1,?,5,1,5,0,GO0004856@GO0005524@GO0005737@GO0005998@GO0042732
C,20,0.6,0.42,0.82,0.59,-0.12,0.02,-0.07,0.61,0.17,0.1,0,0.12,1.0,0,0.2,0.35,0,?,?,?,?,?,?,?,0,GO0000104@GO0005749@GO0006099@GO0006121@GO0009055@GO0016021@GO0042721@GO0045039@GO0045333@GO0046872@GO0048038
C,21,0.38,0.29,0.3,0.4,-0.12,0.0,0.05,0.33,0.13,0.0,0,0.27,0.4,0,0.22,0.23,0,?,?,1,?,5,?,2,0,GO0003677@GO0005634@GO0005737@GO0005935@GO0006334@GO0006337@GO0006606@GO0007117@GO0008047@GO0030332@GO0031116@GO0032968@GO0042393@GO0042802@GO0043085@GO2000617
D,20,2.51,1.89,1.65,1.64,-0.12,-0.09,-0.14,1.92,0.14,0.6,0,0.29,0.4,0,0.12,1.17,0,?,?,?,?,?,?,?,0,GO0003881@GO0005741@GO0005789@GO0005794@GO0006661@GO0016021
A,20,3.04,2.18,2.54,4.85,-0.13,-0.15,0.15,3.15,0.06,2.5,0,0.07,1.9,0,0.07,2.14,0,?,?,?,?,?,?,?,0,GO0000324@GO0004177@GO0007039@GO0008237@GO0046872
A,20,0.27,0.14,0.27,0.26,-0.13,-0.06,-0.05,0.24,0.06,1.0,0,0.11,1.2,0,0.05,1.0,0,?,?,?,?,?,?,?,0,GO0005737@GO0005938@GO0006897@GO0007015@GO0030036@GO0030479@GO0051666
A,21,0.77,0.52,0.64,0.94,-0.13,-0.09,0.08,0.72,0.09,1.0,0,0.1,1.3,0,0.06,1.33,0,?,?,?,?,?,?,?,0,GO0000221@GO0000329@GO0003677@GO0004519@GO0005524@GO0005886@GO0006314@GO0007035@GO0012505@GO0016539@GO0044267@GO0046034@GO0046961
A,20,0.9,0.78,0.9,0.72,-0.13,-0.08,0.0,0.83,0.06,1.3,0,0.15,0.9,0,0.13,0.0,0,?,?,?,?,?,?,5,0,GO0000082@GO0000780@GO0004722@GO0006417@GO0006470@GO0007015@GO0007094@GO0007117@GO0034399@GO0046872@GO0070262@GO2000198
A,21,0.16,0.17,0.13,1.0,-0.13,-0.07,0.64,0.37,0.11,0.6,0,0.13,1.0,0,0.09,7.11,1,?,?,?,?,?,?,?,0,GO0004047@GO0005739@GO0005960@GO0006544@GO0006546@GO0006730@GO0008483@GO0055114
A,20,0.91,0.78,1.03,1.03,-0.13,0.03,0.08,0.94,0.05,0.6,0,0.08,1.6,0,0.05,1.6,0,?,?,?,?,?,?,?,0,GO0004032@GO0004090@GO0005737@GO0019568@GO0034599@GO0042843
B,20,0.11,0.1,0.1,0.14,-0.1,0.0,0.0,0.11,0.02,0.0,0,0.15,0.9,0,0.17,0.0,0,?,1,?,?,5,1,4,0,GO0000011@GO0000329@GO0005634@GO0016021@GO0016236@GO0034727@GO0042144@GO0042802@GO0043495@GO0045121@GO0071255@GO0071561@GO0071562@GO0071563@GO1903044
C,20,0.48,0.54,0.34,1.1,-0.13,-0.2,0.1,0.62,0.11,1.5,0,0.19,0.7,0,0.14,0.71,0,?,?,?,?,1,?,2,0,GO0001405@GO0005524@GO0005634@GO0005743@GO0016887@GO0030150@GO0030234@GO0032079@GO0042026@GO0042645@GO0043335@GO0051082
C,20,1.09,1.22,0.63,3.07,-0.13,0.0,0.22,1.5,0.13,0.0,0,0.24,0.5,0,0.21,1.05,1,?,?,?,?,5,?,?,0,GO0000302@GO0004130@GO0005758@GO0005759@GO0020037@GO0034599@GO0042744@GO0046872
C,21,0.84,0.97,0.99,1.5,-0.13,-0.06,0.05,1.08,0.18,0.3,0,0.16,0.8,0,0.1,0.5,0,?,?,?,?,?,?,?,0,GO0004069@GO0005777@GO0005829@GO0006103@GO0006531@GO0006532@GO0006536@GO0019266@GO0030170
C,21,0.4,0.44,0.27,0.2,-0.13,0.0,0.0,0.33,0.13,0.0,0,0.21,0.6,0,0.17,0.0,0,1,?,?,1,5,?,5,0,GO0000139@GO0005737@GO0005794@GO0005829@GO0006896@GO0008525@GO0008526@GO0015914@GO0030437@GO0043001@GO0046488@GO0048194@GO1901352@GO2001246
D,20,1.42,0.88,3.46,2.03,-0.13,0.28,0.12,1.95,0.16,1.8,1,0.14,0.9,0,0.09,1.33,0,?,?,?,?,?,?,?,0,GO0000287@GO0003723@GO0004449@GO0005739@GO0005962@GO0006099@GO0006102@GO0006537@GO0051287
D,21,0.55,0.28,0.68,0.65,-0.13,0.21,0.09,0.54,0.13,1.6,1,0.09,1.4,0,0.13,0.69,0,?,?,?,?,?,?,?,0,GO0005737@GO0005980@GO0008184@GO0030170@GO0102250@GO0102499
A,21,0.5,0.5,0.57,0.84,-0.14,0.0,0.04,0.6,0.09,0.0,0,0.11,1.3,0,0.04,1.0,0,?,?,?,?,5,?,?,0,GO0003955@GO0005737@GO0005739@GO0009055@GO0010181@GO0045121
A,20,0.29,0.16,0.2,0.28,-0.14,0.0,0.0,0.23,0.09,0.0,0,0.13,1.1,0,0.08,0.0,0,?,?,?,?,5,?,5,0,GO0004169@GO0016021@GO0031505@GO0032527@GO0035269@GO0071712@GO0097582@GO0097583@GO1900101
A,20,6.78,5.06,6.65,7.48,-0.14,-0.1,0.03,6.49,0.06,1.7,0,0.04,3.5,0,0.07,0.43,0,?,?,?,?,?,?,?,0,GO0000002@GO0005199@GO0005576@GO0005739@GO0005840@GO0009277@GO0031225@GO0031505
A,21,0.14,0.17,0.2,0.2,-0.14,0.01,0.0,0.18,0.1,0.1,0,0.2,0.7,0,0.07,0.0,0,?,?,?,?,2,?,5,0,GO0003756@GO0005788@GO0006457@GO0015035@GO0019153@GO0034976@GO0045454@GO0051082
B,21,0.31,0.17,0.2,0.27,-0.14,0.15,0.01,0.24,0.13,1.2,0,0.16,0.9,0,0.14,0.07,0,?,?,?,?,?,?,?,0,GO0000287@GO0004610@GO0005634@GO0005829@GO0006048@GO0034221@GO0071555
B,20,0.74,0.45,0.57,0.77,-0.14,-0.1,-0.04,0.63,0.15,0.7,0,0.07,2.0,0,0.08,0.5,0,?,?,?,?,?,?,?,0,GO0004818@GO0005524@GO0005737@GO0005739@GO0006424@GO0010494@GO0017102
B,21,0.6,0.38,0.69,1.35,-0.14,-0.02,0.3,0.76,0.08,0.3,0,0.15,0.9,0,0.08,3.75,1,?,?,?,?,?,?,?,0,GO0000296@GO0000297@GO0000329@GO0005886@GO0015297@GO0016021
A,20,0.1,0.08,0.1,0.1,-0.15,0.0,0.0,0.09,0.09,0.0,0,0.18,0.8,0,0.05,0.0,0,1,?,1,1,5,?,5,0,GO0000329@GO0005337@GO0005622@GO0015205@GO0015851@GO0015858@GO0016020@GO0016021@GO0034257@GO0034258@GO0055085
A,21,0.26,0.18,0.21,0.14,-0.15,0.0,0.0,0.2,0.09,0.0,0,0.13,1.2,0,0.05,0.0,0,?,?,?,?,5,?,?,0,GO0000462@GO0001732@GO0003743@GO0003924@GO0005525@GO0006446@GO0010494@GO0022627@GO0031369@GO0033290@GO0042255@GO0043022@GO0046872
A,20,0.15,0.12,0.1,0.1,-0.15,0.0,0.0,0.11,0.09,0.0,0,0.18,0.8,0,0.08,0.0,0,?,?,1,1,5,?,5,0,GO0000813@GO0005768@GO0006464@GO0006612@GO0006623@GO0009898@GO0031902@GO0043130@GO0043162@GO0045324@GO1902915@GO1904669
